country;company;count
Sweden;Cyclocity;11272
France;Velo2;115211
Belgium;Li bia velo;69591
France;Velam;73139
Russia;Veli'k;19761
Spain;Valenbisi;774950
Sweden;Lundahoj;47991
Australia;CityCycle;420095
France;Velib;3445276
France;Le vélo;347889
France;Vélô;783507
Slovenia;Bicikelj;105890
Belgium;villo;966501
IRELAND;dublinbikes;285123
France;vélOstan'lib;81867
France;VéloCité;197419
Spain;Tusbic;45647
Luxembourg;Veloh;210316
France;Vélo'V;980918
Sweden;Göteborg;189141
Norway;Bysykkel;14115
France;Cristolib;28230
France;cy'clic;62018
Spain;SEVICI;729862
Lithuania;Cyclocity;104168
France;Bicloo;287997
JAPAN;cyclocity;56360
